"id","tool_name","bleu_score","cosine_similarity","lsa_score"
2,"MarianMT","0.2435234557505532","0.5318445917345577","0.3787160742574097"
21,"Google Translate","0.273031325760733","0.5385357359588571","0.37882622941102245"
3,"Fine-tuned MarianMT","0.22272663100249948","0.5189614924661734","0.361271385306195"
4,"Marefa","0.17046968217616096","0.4564796557498483","0.3086288391725665"
42,"Marefa","0.3665752969962651","0.43880503666487997","0.36405729887225463"
22,"MarianMT","0.23435339226037324","0.509181832959966","0.3419303710409481"
5,"Google Translate","0.20563704721972048","0.5137282139331744","0.3529768878412675"
7,"MarianMT","0.3081033066051532","0.571655553813468","0.4160540316336441"
23,"Fine-tuned MarianMT","0.1269994981414302","0.36415749764478045","0.22880479970577056"
8,"Fine-tuned MarianMT","0.25742842205534605","0.520363411890695","0.3540187560495571"
62,"Fine-tuned MarianMT","0.2254006981307327","0.5624454753486205","0.3966210130331063"
9,"Marefa","0.2892420148557147","0.47594757049674696","0.3318224838440644"
43,"MarianMT","0.345323029760182","0.5029172130562997","0.3639378151026377"
24,"Marefa","0.13181037307711446","0.36578508162927514","0.2357878401631966"
10,"Google Translate","0.38478396309666935","0.613752581674668","0.46504189595558326"
11,"MarianMT","0.18054932604289975","0.4047051966724372","0.26888718672182205"
25,"Google Translate","0.29067302874163337","0.5200027484003182","0.37025722863882643"
12,"Fine-tuned MarianMT","0.17589169310855587","0.39205854851338673","0.24863779129323957"
13,"Marefa","0.15040983861718332","0.2996212359162415","0.20310119880242614"
88,"Fine-tuned MarianMT","0.09627347391722543","0.306462991220232","0.19579549823129413"
44,"Fine-tuned MarianMT","0.20971388531071453","0.4805384695207084","0.3195315161139932"
14,"Google Translate","0.15308833255336354","0.36323244739136634","0.24502546639127223"
27,"MarianMT","0.20138292117518997","0.6528965098181211","0.4585076512897198"
15,"MarianMT","0.33472204513414117","0.7591003915478495","0.613698736507279"
75,"Fine-tuned MarianMT","0.24253240366217688","0.5808836836586702","0.4024124297974201"
16,"Fine-tuned MarianMT","0.3059559312907957","0.7437500895054354","0.5889696520564951"
28,"Fine-tuned MarianMT","0.21493522591453915","0.6197183405413171","0.44055279333345215"
17,"Marefa","0.30322355751747515","0.730315238583235","0.5829476280852227"
63,"Google Translate","0.18181323934250768","0.5114709933193353","0.3372138105244628"
45,"Google Translate","0.3066921555883264","0.42724932715146635","0.30098510415098273"
18,"MarianMT","0.2660956419980911","0.5725072111172181","0.40179668844396704"
29,"Google Translate","0.2008002062729728","0.6369789146298477","0.4543574269386289"
19,"Fine-tuned MarianMT","0.20169159314045343","0.5167807082727933","0.3424538369331769"
20,"Marefa","0.26226606714307016","0.5648265309503481","0.393755895519858"
30,"Marefa","0.08970538204603298","0.5701507767808776","0.3731341928634697"
46,"Marefa","0.22264982650487566","0.4277358065880571","0.27113534129280414"
31,"MarianMT","0.1711309138003668","0.40448151073920546","0.2639204791847063"
32,"Fine-tuned MarianMT","0.19562914927944294","0.4264388484650208","0.27563938298099283"
64,"Marefa","0.20992134329667206","0.471518192876871","0.3256748181137573"
47,"MarianMT","0.18784295412921506","0.454033841038041","0.3136860623084348"
33,"Google Translate","0.20155369030223985","0.4639796855289453","0.3128999309327846"
34,"Marefa","0.2235061296021181","0.4515643023910825","0.31118533839824075"
35,"MarianMT","0.36605929244644986","0.6272177086244147","0.44808216672049467"
50,"Fine-tuned MarianMT","0.1693566788851195","0.4262608856019176","0.2972772315379729"
36,"Fine-tuned MarianMT","0.335681194724134","0.5980217847728182","0.42550479150553444"
83,"MarianMT","0.4642206891017069","0.7032382966632249","0.5477221341460479"
37,"Google Translate","0.3581823461152518","0.49544329678187043","0.37110637316834255"
76,"Google Translate","0.3601775477346186","0.6404714747404381","0.49027519155727833"
51,"Google Translate","0.18330257138814957","0.46780927189930877","0.3153100744286164"
38,"Marefa","0.30258340132913625","0.4281607803235424","0.31557294009317555"
66,"MarianMT","0.1432970409754018","0.3906569786050319","0.25299044255221825"
39,"MarianMT","0.2508555232160821","0.3982405493552765","0.2861634536074727"
52,"Marefa","0.17919865661825604","0.4607670878196135","0.3107678764006606"
40,"Fine-tuned MarianMT","0.4105781276444598","0.497701388676826","0.43424792357912556"
41,"Google Translate","0.4105781276444598","0.497701388676826","0.4342479235791255"
53,"MarianMT","0.37539246491291844","0.6235818550043589","0.4685414368024115"
67,"Fine-tuned MarianMT","0.1276880542405272","0.4097124993791623","0.261792080667293"
54,"Fine-tuned MarianMT","0.30603309946399565","0.6042738292155051","0.4378342884376186"
94,"Marefa","0.17140713727106263","0.4423079342388343","0.2998595171382802"
77,"Google Translate","0.3601775477346186","0.6404714747404381","0.490275191557278"
55,"Google Translate","0.39233173273046684","0.6558627169126785","0.48871467421049425"
68,"Google Translate","0.17770172111297966","0.3759645848711986","0.2593286369345178"
56,"Marefa","0.30726258429139164","0.5580206024050176","0.39534915583658753"
92,"Fine-tuned MarianMT","0.16530794501843693","0.4581779399947216","0.31025810032785317"
57,"MarianMT","0.34684449537027545","0.5494696036156764","0.4099576554679627"
69,"Marefa","1.0455547781216964e-102","0.39073445942075025","0.23023342341888048"
58,"Fine-tuned MarianMT","0.2656636097614485","0.44639347983777344","0.30944187939127243"
84,"Fine-tuned MarianMT","0.38098417030702053","0.6861662771656931","0.517697394426008"
78,"Marefa","0.3440862284904259","0.6515034039441837","0.4858612794128227"
59,"Google Translate","0.4160506928656158","0.5791426572664056","0.4510833281629307"
70,"MarianMT","0.3262124636843936","0.6325270490279993","0.463831691059769"
60,"Marefa","0.35734521505470807","0.5296596356876494","0.378104284359398"
61,"MarianMT","0.12099615193648293","0.3632763035941603","0.25067590429387515"
71,"Fine-tuned MarianMT","0.2648335562521213","0.5412023647091705","0.3848635650876504"
89,"Google Translate","0.18982276841056792","0.43154432311171537","0.2858728319154184"
79,"MarianMT","0.12874960825589304","0.47887918895336146","0.31090447997958975"
72,"Google Translate","0.48502249476062415","0.7490635801298793","0.5890919664351358"
73,"Marefa","0.3239791667226611","0.6124179984918947","0.45201790343204645"
85,"Google Translate","0.6403967240965546","0.821320133145192","0.6655543675734199"
80,"Fine-tuned MarianMT","0.1349973391144941","0.47435972108489455","0.30188130401523106"
74,"MarianMT","0.1580311515523437","0.4356623615788329","0.29318067770625916"
81,"Google Translate","0.16976344357673684","0.5273577596189452","0.35396217174151384"
86,"Marefa","0.309980884114585","0.5381687570107142","0.4044293768004606"
82,"Marefa","0.15320425403402543","0.5009906014234108","0.3290688361684441"
90,"Marefa","0.11779435171227028","0.4058790265429325","0.25967888136278855"
87,"MarianMT","0.17692505682773724","0.45464370089768846","0.3065839946195691"
93,"Google Translate","0.22095109445186617","0.5064131185998556","0.3504639753902067"
91,"MarianMT","0.13879551313385532","0.399899519210059","0.2719536846791073"
99,"Google Translate","0.15625601095717542","0.39084715788822644","0.27360997850003943"
98,"Fine-tuned MarianMT","0.0964141998814021","0.38193466791601793","0.2405534381332292"
97,"MarianMT","0.06621377897856967","0.36773426292796624","0.22933598410065262"
100,"Marefa","0.09381299413047701","0.37520745446397724","0.2412050180623586"
101,"MarianMT","0.260542580408769","0.5854623140457831","0.4239379138285911"
102,"Fine-tuned MarianMT","0.24146869189282752","0.5420909281569419","0.39582554438373885"
103,"Google Translate","0.2924578372438937","0.5588495103677913","0.4316475851426521"
104,"Marefa","0.20563998240277795","0.4897779299048896","0.3591523401356923"
105,"MarianMT","0.13308307567425975","0.24510825373513373","0.16263583579993376"
106,"Fine-tuned MarianMT","0.10800418808527393","0.2066491496593975","0.1330169759541273"
107,"Google Translate","0.07485336311113357","0.2575065501897791","0.14863394847655775"
108,"Marefa","0.09809138409567972","0.16590232721024945","0.1099210141521471"
109,"MarianMT","0.25836069123259653","0.6183543593122328","0.41361665342410137"
137,"MarianMT","0.3854530394781468","0.6130061493083212","0.4786915776307217"
110,"Fine-tuned MarianMT","0.20525398861829403","0.5428586301761956","0.3733764689817"
162,"Google Translate","0.2695725703471157","0.5384489914437294","0.38514725509823233"
111,"Google Translate","0.21782723522769262","0.5565304876913876","0.38851318907694504"
138,"Fine-tuned MarianMT","0.38532266735969206","0.5880122891453641","0.46982296911234267"
112,"Marefa","0.1482934656477148","0.5140410745797612","0.3242828733581885"
113,"MarianMT","0.10670698805661652","0.2859751425589828","0.18847900047705515"
139,"Google Translate","0.4917294587695741","0.6756210256127002","0.5514343694305412"
114,"Fine-tuned MarianMT","0.12165111074903563","0.27698024867859167","0.17660184432830303"
163,"Marefa","0.1982404177713108","0.4517314643451182","0.3150127789519306"
115,"Google Translate","0.14816853342509634","0.29207114177686233","0.18757496832193132"
140,"Marefa","0.43590809236965256","0.6030890479782567","0.48824887236896525"
116,"Marefa","0.05073797380777196","0.21401896753099955","0.125563470933885"
117,"MarianMT","0.23619667839370181","0.3196594545913056","0.24955837627378766"
118,"Fine-tuned MarianMT","0.12403231833561028","0.2038958644456711","0.1499929525072946"
144,"MarianMT","0.18983218666810844","0.47387066554626694","0.3482820946060152"
119,"Google Translate","0.2210575491375413","0.3854256532687612","0.2836895895147263"
178,"Fine-tuned MarianMT","0.06347277006372846","0.23280126601710233","0.16177757519663435"
120,"Marefa","0.1285760668789994","0.3092064925357684","0.217226859880201"
145,"Fine-tuned MarianMT","0.1883514417476397","0.545388802021197","0.37486875434269673"
121,"MarianMT","0.1576644211658064","0.39968620470595856","0.26485777621319145"
